engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms,block_size,blocks_per_sm
GPU,AsianArithmeticCall,1,1000000,64,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.9715474615,0.0352297155,2.6066780000,256,8
GPU,EuropeanCall,1,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.6449742256,0.0655309825,0.7666670000,256,8
GPU,AsianArithmeticCall,1,1000000,128,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.8068823181,0.0350305032,7.0273450000,256,8
GPU,EuropeanCall,1,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.6449742256,0.0655309825,2.1707280000,256,8
GPU,AsianArithmeticCall,1,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7699458237,0.0349536368,12.8936700000,256,8
GPU,EuropeanCall,1,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.6449742256,0.0655309825,0.8543620000,256,8
GPU,AsianArithmeticCall,1,1000000,512,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.6941729216,0.0348350608,21.9477950000,256,8
GPU,EuropeanCall,1,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.6449742256,0.0655309825,1.1692230000,256,8
