engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms
CPU,BasketEuropeanCall,1,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2056932359,0.0589968999,60911.2541960000
CPU,BasketEuropeanCall,2,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2402114361,0.0590096106,30651.3250490000
CPU,BasketEuropeanCall,4,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2407594154,0.0589774981,15691.9376640000
CPU,BasketEuropeanCall,8,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2213618525,0.0589839245,8304.3197380000
CPU,BasketEuropeanCall,16,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2752684054,0.0590307936,5507.0836720000
CPU,BasketEuropeanCall,32,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2882221442,0.0590580073,4712.7070510000
