engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms
CPU,AsianArithmeticCall,16,1000000,64,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.9756210006,0.0352481965,98.2515450000
CPU,EuropeanCall,16,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5012214723,0.0652682104,1.9687320000
CPU,AsianArithmeticCall,16,1000000,128,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.8085829000,0.0350514690,195.6374200000
CPU,EuropeanCall,16,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5012214723,0.0652682104,1.9087120000
CPU,AsianArithmeticCall,16,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7369027682,0.0349104255,367.8672150000
CPU,EuropeanCall,16,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5012214723,0.0652682104,1.9251000000
CPU,AsianArithmeticCall,16,1000000,512,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7604937020,0.0348959020,767.0893160000
CPU,EuropeanCall,16,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5012214723,0.0652682104,2.0278310000
