engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms,block_size,blocks_per_sm
GPU,EuropeanCall,1,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.4898211177,0.0653388685,1.8009430000,256,8
GPU,AsianArithmeticCall,1,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7885450046,0.0349451670,9.5166040000,256,8
GPU,BasketEuropeanCall,1,1000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2839154309,0.0834146047,106.2441050000,256,8
GPU,EuropeanCall,1,5000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5284120233,0.0292243274,0.8400820000,256,8
GPU,AsianArithmeticCall,1,5000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7722616519,0.0156225368,53.1266500000,256,8
GPU,BasketEuropeanCall,1,5000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2682827069,0.0373381249,528.0369720000,256,8
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5514712196,0.0206703280,0.9870150000,256,8
GPU,AsianArithmeticCall,1,10000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7741743972,0.0110512583,108.3482330000,256,8
GPU,BasketEuropeanCall,1,10000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2581543520,0.0264093634,1046.4015350000,256,8
