engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms
CPU,EuropeanCall,16,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5983199101,0.0655204079,2.9160940000
CPU,AsianArithmeticCall,16,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7498953550,0.0349470786,381.7215060000
CPU,EuropeanCall,16,5000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5751074833,0.0292346410,8.5698250000
CPU,AsianArithmeticCall,16,5000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7581276314,0.0156270592,1797.5323320000
CPU,EuropeanCall,16,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5809782550,0.0206729936,16.8853430000
CPU,AsianArithmeticCall,16,10000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7751334353,0.0110547324,3575.1725540000
CPU,EuropeanCall,16,50000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5757724683,0.0092450314,83.3753510000
CPU,AsianArithmeticCall,16,50000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7662845307,0.0049409070,18402.9592630000
