engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms,block_size,blocks_per_sm
GPU,BasketEuropeanCall,1,500000,252,2,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,58.4358842467,0.1380391179,12.1618810000,256,8
GPU,BasketEuropeanCall,1,500000,252,4,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,54.4448082677,0.1249860193,24.2849780000,256,8
GPU,BasketEuropeanCall,1,500000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.3643354810,0.1183447755,54.8054780000,256,8
GPU,BasketEuropeanCall,1,500000,252,16,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,51.2417235908,0.1147068034,127.3893040000,256,8
GPU,BasketEuropeanCall,1,500000,252,32,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,50.4864768461,0.1124306056,324.1743500000,256,8
