engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms
GPU,BasketEuropeanCall,1,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2205750413,0.0590083762,190.6646320000
GPU,BasketEuropeanCall,1,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2205750413,0.0590083762,190.6989150000
GPU,BasketEuropeanCall,1,2000000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2205750413,0.0590083762,190.5804160000
