engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms
GPU,EuropeanCall,1,10000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5692554330,0.0206771309,0.9934320000
GPU,AsianArithmeticCall,1,10000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7744895598,0.0110519728,101.8778090000
GPU,EuropeanCall,1,50000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5697608449,0.0092444950,2.7096630000
GPU,AsianArithmeticCall,1,50000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7607672927,0.0049398559,482.7053610000
GPU,EuropeanCall,1,100000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5715939786,0.0065370189,4.9136190000
GPU,AsianArithmeticCall,1,100000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7558914235,0.0034923713,964.5124480000
GPU,EuropeanCall,1,500000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5707514448,0.0029232242,26.8878640000
GPU,AsianArithmeticCall,1,500000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7615478649,0.0015623534,4811.7019240000
