engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms
GPU,EuropeanCall,1,100000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.3380726954,0.2061382691,0.7889290000
GPU,AsianArithmeticCall,1,100000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.8457354102,0.1102686226,1.5724900000
GPU,EuropeanCall,1,500000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5640547897,0.0924486550,0.8037770000
GPU,AsianArithmeticCall,1,500000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.8121689147,0.0494055627,4.9707310000
GPU,EuropeanCall,1,1000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5056058088,0.0653252206,0.8892370000
GPU,AsianArithmeticCall,1,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7742720989,0.0349138560,11.0581010000
GPU,EuropeanCall,1,5000000,1,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,40.5662501243,0.0292324282,0.8197280000
GPU,AsianArithmeticCall,1,5000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7443371440,0.0156109398,48.6627510000
