engine,type,workers,paths,steps,assets,rho,S0,K,r,sigma,T,price,std_error,time_ms
GPU,AsianArithmeticCall,1,1000000,64,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.9715474615,0.0352297155,2.6247000000
GPU,BasketEuropeanCall,1,500000,64,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.3558687444,0.1182665429,13.5254390000
GPU,AsianArithmeticCall,1,1000000,128,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.8068823181,0.0350305032,5.2303250000
GPU,BasketEuropeanCall,1,500000,128,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.4046959337,0.1181372328,24.2757070000
GPU,AsianArithmeticCall,1,1000000,252,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.7699458237,0.0349536368,9.5507740000
GPU,BasketEuropeanCall,1,500000,252,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2624163925,0.1180726753,48.8814080000
GPU,AsianArithmeticCall,1,1000000,512,1,0.3000000000,271.8399963379,271.8399963379,0.0500000000,0.3182835191,1.0000000000,22.6941729216,0.0348350608,20.3328010000
GPU,BasketEuropeanCall,1,500000,512,8,0.5173016140,358.5787525177,358.5787525177,0.0500000000,0.4062967486,1.0000000000,52.2532182687,0.1180105480,99.2359130000
