Date,Adj Close,Close,High,Low,Open,Volume
2006-01-03,87.72171020507812,126.69999694824219,127.0,124.38999938964844,125.19000244140625,73256700
2006-01-04,88.13713073730469,127.30000305175781,127.48999786376953,126.69999694824219,126.86000061035156,51899600
2006-01-05,88.1924819946289,127.37999725341797,127.58999633789062,126.87999725341797,127.1500015258789,47307500
2006-01-06,88.92642974853516,128.44000244140625,128.5800018310547,127.36000061035156,128.02000427246094,62885900
2006-01-09,89.15492248535156,128.77000427246094,129.05999755859375,128.3800048828125,128.4199981689453,43527400
2006-01-10,89.24490356445312,128.89999389648438,128.97999572753906,128.25999450683594,128.38999938964844,44960800
2006-01-11,89.5287857055664,129.30999755859375,129.44000244140625,128.72999572753906,129.02000427246094,49598900
2006-01-12,89.1756820678711,128.8000030517578,129.27999877929688,128.44000244140625,129.0800018310547,40509200
2006-01-13,89.09257507324219,128.67999267578125,128.89999389648438,128.1999969482422,128.57000732421875,44856700
2006-01-17,88.85026550292969,128.3300018310547,128.4199981689453,127.80999755859375,128.1999969482422,52066600
2006-01-18,88.49713897705078,127.81999969482422,128.89999389648438,127.16000366210938,127.58000183105469,75067600
2006-01-19,88.8364028930664,128.30999755859375,128.77000427246094,127.80999755859375,128.1300048828125,81530400
2006-01-20,87.21627807617188,125.97000122070312,128.30999755859375,125.97000122070312,128.27999877929688,114957800
2006-01-23,87.52780151367188,126.41999816894531,126.81999969482422,126.12999725341797,126.20999908447266,67017400
2006-01-24,87.61786651611328,126.55000305175781,127.1500015258789,126.41999816894531,126.62999725341797,53008800
2006-01-25,87.69403076171875,126.66000366210938,127.18000030517578,125.83999633789062,127.04000091552734,87747700
2006-01-26,88.17867279052734,127.36000061035156,127.66999816894531,126.76000213623047,127.25,71294000
2006-01-27,88.99567413330078,128.5399932861328,128.66000366210938,127.44999694824219,127.66000366210938,65771200
2006-01-30,88.92642974853516,128.44000244140625,128.80999755859375,128.35000610351562,128.44000244140625,33709600
2006-01-31,88.27558898925781,127.5,128.5399932861328,127.48999786376953,128.32000732421875,72937000
2006-02-01,88.89181518554688,128.38999938964844,128.42999267578125,127.72000122070312,127.81999969482422,63561000
2006-02-02,87.86019134521484,126.9000015258789,128.13999938964844,126.80000305175781,128.10000610351562,83626900
2006-02-03,87.42400360107422,126.2699966430664,128.38999938964844,126.13999938964844,126.58000183105469,86040400
2006-02-06,87.65247344970703,126.5999984741211,126.80000305175781,126.16999816894531,126.44000244140625,45511900
2006-02-07,86.87700653076172,125.4800033569336,126.66000366210938,125.4000015258789,126.37999725341797,71208100
2006-02-08,87.66634368896484,126.62000274658203,128.10000610351562,125.5999984741211,125.8499984741211,59422200
2006-02-09,87.52095031738281,126.41000366210938,127.5999984741211,126.37000274658203,126.91999816894531,62023300
2006-02-10,87.68016815185547,126.63999938964844,127.12999725341797,125.44999694824219,126.43000030517578,64508700
2006-02-13,87.52095031738281,126.41000366210938,126.79000091552734,125.94999694824219,126.5999984741211,52308700
2006-02-14,88.44869232177734,127.75,128.02999877929688,126.20999908447266,126.45999908447266,90964400
2006-02-15,88.76023864746094,128.1999969482422,128.32000732421875,127.23999786376953,127.68000030517578,85471300
2006-02-16,89.4249267578125,129.16000366210938,129.2100067138672,128.17999267578125,128.33999633789062,61017900
2006-02-17,89.18260192871094,128.80999755859375,129.16000366210938,128.5800018310547,129.0500030517578,40342600
2006-02-21,88.9610366821289,128.49000549316406,129.39999389648438,128.2899932861328,129.11000061035156,46456300
2006-02-22,89.50105285644531,129.27000427246094,129.64999389648438,128.64999389648438,128.77000427246094,42326700
2006-02-23,89.3695068359375,129.0800018310547,129.63999938964844,128.27999877929688,129.27000427246094,43423200
2006-02-24,89.59797668457031,129.41000366210938,129.47999572753906,128.75999450683594,129.11000061035156,36777400
2006-02-27,89.6325912475586,129.4600067138672,130.0399932861328,129.27999877929688,129.39999389648438,35858600
2006-02-28,88.78097534179688,128.22999572753906,129.91000366210938,128.1300048828125,129.1999969482422,74394800
2006-03-01,89.57030487060547,129.3699951171875,129.49000549316406,128.5,128.60000610351562,48641600
2006-03-02,89.56336975097656,129.36000061035156,129.4199981689453,128.61000061035156,128.89999389648438,60642300
2006-03-03,89.14794921875,128.75999450683594,130.07000732421875,128.64999389648438,128.6699981689453,73402500
2006-03-06,88.73944854736328,128.1699981689453,129.17999267578125,127.8499984741211,129.13999938964844,57478400
2006-03-07,88.60100555419922,127.97000122070312,128.05999755859375,127.4000015258789,127.86000061035156,61780800
2006-03-08,88.78794860839844,128.24000549316406,128.44000244140625,127.18000030517578,127.69999694824219,66692400
2006-03-09,88.1924819946289,127.37999725341797,128.67999267578125,127.37999725341797,128.27999877929688,56313600
2006-03-10,89.03022766113281,128.58999633789062,128.83999633789062,127.44000244140625,127.70999908447266,60490800
2006-03-13,89.1964340209961,128.8300018310547,129.16000366210938,128.52999877929688,128.83999633789062,45479100
2006-03-14,90.13113403320312,130.17999267578125,130.22999572753906,128.61000061035156,128.7100067138672,69877300
2006-03-15,90.53266143798828,130.75999450683594,130.86000061035156,129.85000610351562,130.14999389648438,53398900
2006-03-16,90.71961212158203,131.02999877929688,131.47000122070312,130.83999633789062,131.00999450683594,65526400
