Date,Open,High,Low,Close,Volume
2020-01-02,66.91491828092151,67.92081451416016,66.8196375144199,67.92081451416016,27278000
2020-01-03,66.89455761905593,68.17240092635127,66.86080841091031,67.56548309326172,23408000
2020-01-06,67.07469616252293,69.3916926420359,67.0434381998988,69.36638641357422,46768000
2020-01-07,69.49789480129157,69.64875536577131,69.05623219302926,69.2323989868164,34330000
2020-01-08,69.21799682818892,70.0631127279086,69.10932089642078,69.72516632080078,35314000
2020-01-09,70.56333795807842,70.8983085315508,69.98173387535881,70.45714569091797,33200000
2020-01-10,70.93752236021759,71.20896992621299,70.44772336560568,70.9122085571289,26258000
2020-01-13,71.22436458434481,71.53352925441945,70.73407329083622,71.46157836914062,30730000
2020-01-14,71.4600719000503,71.59058602367756,70.85315396532941,70.99310302734375,26076000
2020-01-15,71.11368347743128,71.49877431407914,71.04619262822877,71.42036437988281,21550000
2020-01-16,71.73051821248909,71.991054234151,71.46006263409811,71.9642562866211,26080000
2020-01-17,72.57862458072043,73.47236924908141,72.28137099518135,73.42125701904297,52424000
2020-01-21,73.39544471015016,73.93537154529689,72.95924161824139,73.55673217773438,48930000
2020-01-22,73.92793275973034,74.46636033692931,73.5770832763965,73.63712310791016,28458000
2020-01-23,73.81973599499418,74.1150056100475,73.46094335586837,73.67780303955078,26650000
2020-01-24,74.08126273759932,74.1497455459025,72.61037407881075,72.75875854492188,29786000
2020-01-27,71.04024762156224,71.29035678349074,70.44275705144024,71.04967498779297,34132000
2020-01-28,71.54640599686525,72.19450892371258,70.98167277704664,71.98112487792969,29724000
2020-01-29,72.37614063669027,72.65801507586868,71.72754546979097,72.28880310058594,21566000
2020-01-30,71.36577389032585,72.21684156955847,71.2119374669288,72.16722106933594,27110000
2020-01-31,72.842628440091,72.93244966534068,70.81792535833127,71.1017837524414,43822000
2020-02-03,72.53445879410422,73.75772216289415,72.28434960562575,73.57410430908203,71636000
2020-02-04,72.17912861978445,72.81680464346873,70.56829869425806,71.72853088378906,95880000
2020-02-05,72.63170618173763,72.67984253452366,70.94793336208039,71.76029205322266,36376000
2020-02-06,72.05458066523562,73.5224935524737,71.98014611752211,73.24508666992188,37822000
2020-02-07,72.81929012242819,73.7055911376281,72.72103350779275,73.40089416503906,28360000
2020-02-10,73.30760698082317,74.87823628434978,73.20686668811356,74.86731719970703,38302000
2020-02-11,75.09610172081878,75.92037918006768,74.70803495822373,74.93680572509766,34852000
2020-02-12,75.22462568128545,75.44496101891976,74.86782448844302,75.36209106445312,31042000
2020-02-13,74.93381963355475,75.72533972486248,74.63606632799268,75.10205078125,22914000
2020-02-14,75.15862587664202,75.43255711257372,74.71298785427767,75.36705017089844,23198000
2020-02-18,75.14919009338159,75.9541053185797,74.98393482404958,75.40227508544922,25642000
2020-02-19,75.78738014912862,75.96305477198614,75.47871529345878,75.6717529296875,22746000
2020-02-20,75.38094885591177,75.78092664396918,74.64897632817032,75.28070831298828,25962000
2020-02-21,74.66485635902535,74.98097223836919,73.37014197480975,73.61677551269531,42520000
2020-02-24,70.61892873661743,71.28043457661818,69.8120294255332,70.46062469482422,49560000
2020-02-25,71.0134442009436,71.30374648103692,68.50341002838334,68.79619598388672,51580000
2020-02-26,69.22593953275528,70.15343317516887,68.31134888548952,69.00212860107422,49776000
2020-02-27,67.4473896252563,67.95654311110967,65.21922220576265,65.25445556640625,62290000
2020-02-28,63.23769037956694,66.61913861220282,62.93497730501943,66.46034240722656,80198000
2020-03-02,67.06279499656021,68.85325994086891,65.76311339989533,68.79619598388672,55430000
2020-03-03,69.3599333673379,69.88149002953965,65.9635907304917,66.38441467285156,56602000
2020-03-04,67.43845113577657,68.62052161924996,66.34868554057559,68.56196594238281,47598000
2020-03-05,66.77297041597613,67.17394765388372,64.5939392228994,65.2450180053711,54380000
2020-03-06,63.021331540993415,64.64902873567758,62.389107394937724,64.30116271972656,64640000
2020-03-09,59.79619410549362,62.16678266927018,59.45278813467974,60.33363342285156,69252000
2020-03-10,62.249166437969265,63.3141180465607,60.27011622097382,63.280372619628906,54872000
2020-03-11,61.9454606818698,62.37521226684703,59.11037916246386,60.09096908569336,54732000
2020-03-12,55.71007122053141,58.99177508979836,55.00787634557328,55.16072082519531,94326000
2020-03-13,58.308932915533035,60.26465691209083,55.19744041947914,60.25820541381836,79400000
